instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R101,97,21,1633.39,108.738,123
R101,25,8,618.33,14.978,123
R101,25,8,618.33,14.83,123
R101,25,8,618.33,15.647,123
R101,25,8,618.33,10.571,123
R101,97,22,1680.15,110.235,123
R101,50,12,1052,36.124,123
R101,25,8,618.33,14.963,123
R102,100,19,1548.64,100.758,123
R102,50,11,951.402,29.803,123
R102,25,7,556.864,14.099,123
R103,100,16,1310.77,142.819,123
R103,50,9,800.264,41.642,123
R103,25,6,459.676,13.459,123
R104,100,13,1065.21,176.004,123
R104,50,7,653.707,52.602,123
R104,25,4,406.264,15.498,123
R105,100,15,1378.32,81.016,123
R105,50,10,921.602,28.002,123
R105,25,6,524.96,11.335,123
R106,100,15,1315.85,101.076,123
R106,50,8,811.054,30.523,123
R106,25,5,479.49,12.6,123
R107,100,14,1209.2,132.813,123
R107,50,8,762.841,41.196,123
R107,25,5,440.743,13.682,123
R108,100,11,963.301,189.176,123
R108,50,6,621.242,62.533,123
R108,25,4,397.628,16.15,123
R109,100,13,1180.25,87.192,123
R109,50,8,811.291,29.383,123
R109,25,5,442.625,11.632,123
R110,100,13,1134.04,88.887,123
R110,50,7,718.11,30.268,123
R110,25,5,438.448,11.618,123
R111,100,13,1120.34,90.861,123
R111,50,8,758.409,30.583,123
R111,25,5,440.743,11.388,123
R112,100,10,1010.47,88.551,123
R112,50,7,678.514,29.908,123
R112,25,4,395.091,11.235,123
R201,100,10,1230.23,84.855,123
R201,50,6,824.31,28.372,123
R201,25,4,450.658,11.147,123
R202,100,9,1223.79,96.868,123
R202,50,5,729.29,31.073,123
R202,25,4,416.145,11.516,123
R203,100,8,958.102,135.858,123
R203,50,5,641.702,38.663,123
R203,25,2,392.178,13.844,123
R204,100,6,800.61,198.3,123
R204,50,4,532.637,55.781,123
R204,25,3,342.845,15.132,123
R205,100,10,1070.43,85.147,123
R205,50,6,714.082,28.987,123
R205,25,3,409.575,11.18,123
R206,100,8,1036.53,99.628,123
R206,50,5,689.864,31.787,123
R206,25,2,391.89,11.773,123
R207,100,7,905.093,140.29,123
R207,25,3,368.453,18.86,123
R208,100,8,836.992,209.356,123
R208,50,4,522.105,59.995,123
R208,25,2,328.809,15.693,123
R209,100,8,1024.93,87.448,123
R209,50,4,602.829,27.31,123
R209,25,3,379.089,11.885,123
R210,100,9,1015.18,83.758,123
R210,50,6,695.259,27.178,123
R210,25,3,417.457,10.843,123
R211,100,7,886.859,90.154,123
R211,50,5,599.258,28.429,123
R211,25,3,365.827,10.794,123
R101,99,20,1694.22,89.338,1234
R101,99,20,1694.22,93.58,1234
R101,99,21,1705.34,82.075,1234
R101,100,22,1703.61,172.306,1234
R101,50,12,1054.14,63.575,1234
R101,25,8,618.33,22.749,1234
R102,100,19,1554.13,211.765,1234
R102,50,11,922.228,62.482,1234
R102,25,7,542.319,22.989,1234
R103,100,17,1319.5,246.845,1234
R103,50,10,786.333,77.712,1234
R103,25,6,459.773,25.353,1234
R104,100,14,1071.04,377.17,1234
R104,50,7,652.676,103.495,1234
R104,25,4,402.306,30.108,1234
R105,100,16,1380.09,170.864,1234
R105,50,10,921.602,58.434,1234
R105,25,6,525.514,22.415,1234
R106,100,14,1313.39,202.493,1234
R106,50,10,826.349,65.834,1234
R106,25,5,482.775,25.544,1234
R107,100,14,1148.44,270.844,1234
R107,50,8,725.638,86.779,1234
R107,25,5,429.26,24.747,1234
R108,100,11,1001.52,349.95,1234
R108,50,6,648.101,99.765,1234
R108,25,4,389.622,27.27,1234
R109,100,13,1212.82,155.05,1234
R109,50,9,798.482,51.418,1234
R109,25,5,439.253,20.707,1234
R110,100,13,1148.16,161.608,1234
R110,50,7,731.322,53.68,1234
R110,25,5,430.447,20.394,1234
R111,100,13,1147.93,165.409,1234
R111,50,7,735.673,58.48,1234
R111,25,5,430.566,21.408,1234
R112,100,11,1019.26,168.048,1234
R112,50,7,666.122,56.894,1234
R112,25,4,395.091,21.216,1234
R201,100,9,1210.42,157.298,1234
R201,50,8,826.157,53.831,1234
R201,25,4,465.184,20.582,1234
R202,100,9,1129.74,185.859,1234
R202,50,6,753.68,58.769,1234
R202,25,4,398.697,21.912,1234
R203,100,9,975.213,258.391,1234
R203,50,5,615.729,72.918,1234
R203,25,4,391.25,25.253,1234
R204,100,8,894.044,372.704,1234
R204,50,4,538.088,112.086,1234
R204,25,3,354.879,29.136,1234
R205,100,8,1051.97,158.794,1234
R205,50,5,716.717,53.155,1234
R205,25,3,394.062,20.223,1234
R206,100,8,966.727,180.951,1234
R206,50,5,672.52,57.211,1234
R206,25,3,364.617,21.773,1234
R207,100,7,938.59,244.297,1234
R207,50,4,633.048,70.407,1234
R207,25,3,380.995,24.661,1234
R208,100,6,794.988,353.246,1234
R208,50,4,521.494,98.807,1234
R208,25,2,355.145,28.512,1234
R209,100,7,994.602,160.693,1234
R209,50,4,632.173,53.861,1234
R209,25,3,387.522,20.277,1234
R210,100,8,1010.83,160.169,1234
R210,50,5,665.685,53.266,1234
R210,25,3,414.021,20.097,1234
R211,100,8,953.621,168.2,1234
R211,50,5,595.217,57.759,1234
R211,25,3,369.06,20.901,1234
R101,100,21,1692.86,141.022,12345
R101,50,13,1048.04,54.502,12345
R101,25,8,618.33,20.186,12345
R101,1798966848,0,0,112.565,12345
R101,50,14,1522.45,43.065,12345
R101,25,8,739.246,19.15,12345
R101,1798966848,0,0,105.887,12345
R101,1798966848,0,0,106.04,12345
R101,100,23,1853.84,121.842,12345
R101,50,13,1069.31,38.736,12345
R101,25,7,623.522,14.886,12345
R101,100,22,1813.7,117.23,12345
R101,50,12,1061.69,37.026,12345
R101,25,8,618.33,14.534,12345
R101,100,22,1746.9,119.699,123
R101,50,12,1056.83,37.684,123
R101,25,9,625.189,14.943,123
R101,100,24,2044.6,119.272,123
R101,50,13,1124.1,38.118,123
R101,25,8,630.668,15,123
R101,100,23,1919.15,125.441,123
R101,50,12,1070.42,39.762,123
R101,25,8,618.33,15.572,123
R101,100,22,1917.51,122.459,123
R101,50,12,1064.22,38.859,123
R101,25,8,618.33,16.091,123
R101,100,23,1912.62,121.408,123
R101,50,13,1073.74,38.181,123
R101,25,8,626.635,15.264,123
R101,100,22,1741.15,122.741,123
R101,50,13,1069.33,44.227,123
R101,25,8,618.33,18.183,123
R101,100,22,1741.15,121.074,123
R101,50,12,1074.46,38.673,123
R101,25,9,619.172,14.298,123
R101,100,21,1772.55,117.708,100
R101,50,13,1056.47,34.213,100
R101,25,7,618.33,11.951,100
R101,100,21,1772.55,115.571,100
R101,50,13,1056.47,34.305,100
R101,25,7,618.33,11.526,100
R102,100,20,1708.17,130.833,100
R102,50,12,1003.11,37.371,100
R102,25,7,549.773,12.615,100
R103,100,17,1552.59,176.35,100
R103,50,11,910.273,44.674,100
R103,25,6,457.186,13.896,100
R104,100,13,1267.14,221.931,100
R104,50,7,706.936,59.6,100
R104,25,4,422.979,15.866,100
R105,100,16,1490.93,123.389,100
R105,50,10,940.353,34.817,100
R105,25,6,531.804,12.104,100
R106,100,17,1487.18,136.882,100
R106,50,9,837.965,37.465,100
R106,25,5,483.031,13.044,100
R107,100,15,1390.49,168.954,100
R107,50,8,783.581,45.043,100
R107,25,4,439.477,14.682,100
R108,100,14,1224.42,226.098,100
R108,50,7,655.029,59.234,100
R108,25,4,398.295,16.716,100
R109,100,15,1372.73,125.681,100
R109,50,9,841.205,35.881,100
R109,25,5,442.625,12.351,100
R110,100,15,1361.04,127.869,100
R110,50,9,785.065,36.207,100
R110,25,5,440.943,12.332,100
R111,100,15,1294.96,128.792,100
R111,50,9,816.594,36.176,100
R111,25,5,449.012,12.38,100
R112,100,14,1165.83,129.339,100
R112,50,7,700.361,37.061,100
R112,25,4,411.207,12.438,100
R201,100,14,1427.54,124.418,100
R201,50,9,867.635,35.074,100
R201,25,4,485.184,12.037,100
R202,100,12,1377.77,137.878,100
R202,50,7,832.869,37.828,100
R202,25,4,425.056,13.32,100
R203,100,8,1095.85,173.686,100
R203,50,6,708.665,45.125,100
R203,25,3,388.103,14.551,100
R204,100,8,956.423,236.168,100
R204,50,6,571.585,60.749,100
R204,25,3,358.597,16.157,100
R205,100,14,1275.32,125.72,100
R205,50,6,783.923,35.899,100
R205,25,4,404.062,12.13,100
R206,100,9,1180.17,139.079,100
R206,50,7,716.897,38.136,100
R206,25,4,407.618,12.669,100
R207,100,9,1070.69,173.37,100
R207,50,7,721.9,45.269,100
R207,25,4,396.277,14.775,100
R208,100,7,997.954,233.179,100
R208,50,5,612.716,61.266,100
R208,25,2,348.05,15.914,100
R209,100,11,1234.7,127.823,100
R209,50,6,687.608,36.289,100
R209,25,3,385.04,12.16,100
R210,100,9,1127.11,128.966,100
R210,50,8,773.151,36.303,100
R210,25,3,410.052,12.381,100
R211,100,8,999.025,130.418,100
R211,50,4,597.66,36.073,100
R211,25,3,387.492,12.157,100
R101,100,21,1762.26,123.318,101
R101,50,13,1063.55,35.16,101
R101,25,7,618.33,12.065,101
R102,100,20,1712.61,138.546,101
R102,50,13,985.715,38.253,101
R102,25,7,562.09,12.561,101
R103,100,17,1490.24,170.708,101
R103,50,10,842.806,44.519,101
R103,25,6,466.049,15.54,101
R104,100,14,1243.68,225.805,101
R104,50,7,697.194,60.943,101
R104,25,4,430.506,16.254,101
R105,100,18,1517.32,124.652,101
R105,50,11,928.138,35.421,101
R105,25,6,531.069,11.964,101
R106,100,15,1480.34,136.732,101
R106,50,10,896.402,37.025,101
R106,25,5,477.399,12.968,101
R107,100,14,1360.77,167.542,101
R107,50,9,829.753,44.965,101
R107,25,4,449.912,14.662,101
R108,100,14,1242.03,227.404,101
R108,50,7,695.975,60.568,101
R108,25,4,392.99,15.888,101
R109,100,14,1407.4,123.725,101
R109,50,8,830.44,35.977,101
R109,25,5,442.625,11.884,101
R110,100,14,1241.97,129.401,101
R110,50,8,767.633,36.599,101
R110,25,5,442.43,12.305,101
R111,100,15,1332.11,129.831,101
R111,50,9,790.724,36.253,101
R111,25,5,440.048,13.118,101
R112,100,13,1209.43,130.527,101
R112,50,7,746.311,35.363,101
R112,25,4,437.157,12.508,101
R201,100,13,1388.64,125.723,101
R201,50,9,884.681,35.208,101
R201,25,4,476.428,11.935,101
R202,100,13,1303.85,138.288,101
R202,50,8,797.441,38.672,101
R202,25,4,434.244,12.874,101
R203,100,10,1114.19,172.86,101
R203,50,7,732.054,45.897,101
R203,25,4,414.679,13.916,101
R204,100,8,959.739,232.566,101
R204,50,3,612.616,60.846,101
R204,25,2,363.848,15.746,101
R205,100,11,1212.34,126.195,101
R205,50,8,780.087,35.614,101
R205,25,3,408.806,12.893,101
R206,100,9,1201.49,138.744,101
R206,50,6,797.636,38.116,101
R206,25,3,410.183,12.89,101
R207,100,8,1086.45,172.81,101
R207,50,6,650.085,45.747,101
R207,25,3,378.664,14.57,101
R208,100,10,1004.22,231.62,101
R208,50,6,622.352,59.617,101
R208,25,2,335.061,15.91,101
R209,100,11,1078.06,128.443,101
R209,50,7,698.69,35.91,101
R209,25,4,400.933,11.772,101
R210,100,10,1097.32,127.611,101
R210,50,7,722.721,36.19,101
R210,25,3,423.043,12.017,101
R211,100,9,1024.17,131.375,101
R211,50,7,665.096,35.989,101
R211,25,3,398.019,12.098,101
R101,100,22,1750.03,122.75,102
R101,50,12,1054.75,35.92,102
R101,25,7,618.33,11.978,102
R102,100,20,1664.1,135.512,102
R102,50,12,993.881,38.262,102
R102,25,7,552.426,12.997,102
R103,100,17,1454.01,185.713,102
R103,50,10,827.463,46.571,102
R103,25,6,472.224,14.714,102
R104,100,14,1268.69,228.681,102
R104,50,8,724.183,59.39,102
R104,25,4,423.176,16.669,102
R105,100,18,1519.23,123.308,102
R105,50,9,930.887,35.826,102
R105,25,6,531.804,12.51,102
R106,100,16,1429.44,135.18,102
R106,50,10,853.438,38.091,102
R106,25,5,480.806,12.926,102
R107,100,15,1388.66,171.207,102
R107,50,10,833.91,44.986,102
R107,25,5,450.42,14.236,102
R108,100,12,1165.31,223.082,102
R108,50,8,674.241,59.641,102
R108,25,4,398.771,16.366,102
R109,100,16,1382.24,125.013,102
R109,50,10,819.361,35.134,102
R109,25,5,442.625,12.073,102
R110,100,15,1367.85,129.064,102
R110,50,9,809.572,35.749,102
R110,25,5,451.161,13.023,102
R111,100,14,1294.97,129.685,102
R111,50,7,766.968,36.448,102
R111,25,5,428.586,11.954,102
R112,100,12,1122.92,129.675,102
R112,50,9,751.585,36.389,102
R112,25,4,420.937,12.898,102
R201,100,13,1413.23,125.916,102
R201,50,8,866.779,35.735,102
R201,25,4,487.867,12.111,102
R202,100,10,1247.07,137.561,102
R202,50,7,765.092,37.947,102
R202,25,4,434.387,13.071,102
R203,100,8,1086.44,174.271,102
R203,50,6,712.189,44.803,102
R203,25,3,421.554,14.898,102
R204,100,5,940.496,232.347,102
R204,50,5,620.115,59.883,102
R204,25,3,370.148,15.836,102
R205,100,12,1301.68,126.696,102
R205,50,9,816.772,35.574,102
R205,25,4,424.113,12.478,102
R206,100,10,1155.21,139.001,102
R206,50,6,736.746,37.832,102
R206,25,4,399.398,13.08,102
R207,100,11,1127.16,173.478,102
R207,50,6,665.143,44.45,102
R207,25,3,368.139,14.887,102
R208,100,6,888.435,231.819,102
R208,50,3,566.734,60.097,102
R208,25,2,337.162,15.625,102
R209,100,12,1185.7,132.139,102
R209,50,8,719.478,35.89,102
R209,25,3,414.323,11.996,102
R210,100,8,1155.94,128.837,102
R210,50,6,699.065,36.144,102
R210,25,3,443.412,12.466,102
R211,100,9,1066.23,133.061,102
R211,50,6,656.695,37.08,102
R211,25,3,377.226,12.244,102
R101,100,20,1725.84,122.792,103
R101,50,13,1064.38,36.192,103
R101,25,8,618.33,11.919,103
R102,100,20,1684.04,138.017,103
R102,50,13,1005.23,38.364,103
R102,25,7,555.438,12.437,103
R103,100,16,1490.99,172.201,103
R103,50,12,916.703,45.809,103
R103,25,6,464.825,14.859,103
R104,100,12,1163.21,226.468,103
R104,50,7,691.311,59.263,103
R104,25,5,441.098,16.741,103
R105,100,17,1515.52,123.464,103
R105,50,10,933.057,34.695,103
R105,25,6,531.804,12.486,103
R106,100,15,1459.81,138.167,103
R106,50,10,885.016,38.216,103
R106,25,5,495.777,12.868,103
R107,100,15,1365.17,172.868,103
R107,50,8,781.807,46.493,103
R107,25,5,447.182,14.414,103
R108,100,13,1211.1,225.706,103
R108,50,7,659.637,58.748,103
R108,25,5,405.474,16.126,103
R109,100,14,1293.8,124.681,103
R109,50,8,849.072,35.337,103
R109,25,5,448.157,12.309,103
R110,100,15,1284.58,128.361,103
R110,50,8,777.15,35.338,103
R110,25,5,455.442,12.785,103
R111,100,16,1393.49,128.002,103
R111,50,8,800.263,35.705,103
R111,25,5,440.048,12.518,103
R112,100,13,1191.63,130.105,103
